Anno,Mese,Cerchia,Incidenti,Morti,Feriti,month_start
2002,5,Dalle Mura Spagnole alla Nuova Circonvallazione,459,2,607,2002-05-01
2002,5,Entro la Cerchia dei Navigli,66,0,77,2002-05-01
2002,5,Senza indicazioni,63,1,84,2002-05-01
2002,6,Dalla Cerchia dei Navigli alle Mura Spagnole,87,0,118,2002-06-01
2002,6,Dalla Nuova Circonvallazione ai confini del Comune,890,5,1219,2002-06-01
2002,6,Dalle Mura Spagnole alla Nuova Circonvallazione,444,2,590,2002-06-01
2002,6,Entro la Cerchia dei Navigli,37,0,40,2002-06-01
2002,6,Senza indicazioni,61,0,80,2002-06-01
2002,7,Dalla Cerchia dei Navigli alle Mura Spagnole,96,0,126,2002-07-01
2002,7,Dalla Nuova Circonvallazione ai confini del Comune,999,6,1360,2002-07-01
2002,7,Dalle Mura Spagnole alla Nuova Circonvallazione,463,0,620,2002-07-01
2002,7,Entro la Cerchia dei Navigli,44,0,54,2002-07-01
2002,7,Senza indicazioni,89,2,127,2002-07-01
2002,8,Dalla Cerchia dei Navigli alle Mura Spagnole,46,0,66,2002-08-01
2002,8,Dalla Nuova Circonvallazione ai confini del Comune,477,2,711,2002-08-01
2002,8,Dalle Mura Spagnole alla Nuova Circonvallazione,210,3,287,2002-08-01
2002,8,Entro la Cerchia dei Navigli,18,0,19,2002-08-01
2002,8,Senza indicazioni,41,0,58,2002-08-01
2002,9,Dalla Cerchia dei Navigli alle Mura Spagnole,112,0,136,2002-09-01
2002,9,Dalla Nuova Circonvallazione ai confini del Comune,877,5,1202,2002-09-01
2002,9,Dalle Mura Spagnole alla Nuova Circonvallazione,421,0,580,2002-09-01
2002,9,Entro la Cerchia dei Navigli,41,0,50,2002-09-01
2002,9,Senza indicazioni,85,0,114,2002-09-01
2002,10,Dalla Cerchia dei Navigli alle Mura Spagnole,114,0,162,2002-10-01
2002,10,Dalla Nuova Circonvallazione ai confini del Comune,903,2,1232,2002-10-01
2002,10,Dalle Mura Spagnole alla Nuova Circonvallazione,462,1,610,2002-10-01
2002,10,Entro la Cerchia dei Navigli,60,0,66,2002-10-01
2002,10,Senza indicazioni,239,2,317,2002-10-01
2002,11,Dalla Cerchia dei Navigli alle Mura Spagnole,123,1,155,2002-11-01
2002,11,Dalla Nuova Circonvallazione ai confini del Comune,635,0,862,2002-11-01
2002,11,Dalle Mura Spagnole alla Nuova Circonvallazione,350,1,477,2002-11-01
2002,11,Entro la Cerchia dei Navigli,51,0,72,2002-11-01
2002,11,Senza indicazioni,541,6,759,2002-11-01
2002,12,Dalla Cerchia dei Navigli alle Mura Spagnole,66,0,89,2002-12-01
2002,12,Dalla Nuova Circonvallazione ai confini del Comune,113,0,154,2002-12-01
2002,12,Dalle Mura Spagnole alla Nuova Circonvallazione,90,0,111,2002-12-01
