data;timeIndex;NC;ALTRO;BUS;MERCI;PERSONE;areac
2013-01-01;00:00;110;3;11;21;830;0
2013-01-01;00:30;115;8;15;45;1595;0
2013-01-01;01:00;117;11;16;34;2028;0
2013-01-01;01:30;98;14;15;36;2259;0
2013-01-01;02:00;137;10;21;38;2158;0
2013-01-01;02:30;154;14;14;40;1767;0
2013-01-01;03:00;134;7;15;39;1404;0
2013-01-01;03:30;104;4;19;38;1233;0
2013-01-01;04:00;159;6;13;27;1011;0
2013-01-01;04:30;101;4;16;30;905;0
2013-01-01;05:00;117;10;18;31;761;0
2013-01-01;05:30;121;14;17;28;733;0
2013-01-01;06:00;71;8;27;16;626;0
2013-01-01;06:30;65;11;23;21;715;0
2013-01-01;07:00;34;11;21;17;401;0
2013-01-01;07:30;48;13;24;28;418;0
2013-01-01;08:00;50;13;24;28;409;0
2013-01-01;08:30;50;9;38;28;405;0
2013-01-01;09:00;47;13;30;32;570;0
2013-01-01;09:30;53;5;27;43;802;0
2013-01-01;10:00;79;8;34;53;1065;0
2013-01-01;10:30;67;8;25;45;1245;0
2013-01-01;11:00;81;11;31;31;1526;0
2013-01-01;11:30;100;14;28;36;1670;0
2013-01-01;12:00;95;12;32;37;1728;0
2013-01-01;12:30;106;10;32;36;1692;0
2013-01-01;13:00;112;3;28;44;1446;0
2013-01-01;13:30;91;8;39;21;1305;0
2013-01-01;14:00;113;8;28;31;1306;0
2013-01-01;14:30;106;8;39;28;1653;0
2013-01-01;15:00;139;4;33;56;1908;0
2013-01-01;15:30;125;6;37;40;2200;0
2013-01-01;16:00;156;4;38;37;2581;0
2013-01-01;16:30;120;4;31;54;2471;0
2013-01-01;17:00;137;9;33;42;2467;0
2013-01-01;17:30;122;4;31;43;2406;0
2013-01-01;18:00;129;11;28;46;2136;0
2013-01-01;18:30;94;8;37;42;1954;0
2013-01-01;19:00;106;10;29;29;1971;0
2013-01-01;19:30;103;4;29;34;1888;0
2013-01-01;20:00;103;8;26;29;1570;0
2013-01-01;20:30;86;6;26;33;1249;0
2013-01-01;21:00;88;8;19;30;1165;0
2013-01-01;21:30;78;6;17;25;1043;0
2013-01-01;22:00;95;6;15;26;1026;0
2013-01-01;22:30;86;4;15;26;919;0
2013-01-01;23:00;66;11;16;23;848;0
2013-01-01;23:30;79;4;18;25;756;0
2013-01-02;00:00;72;6;15;20;568;0
2013-01-02;00:30;63;2;19;15;396;0
2013-01-02;01:00;44;4;12;21;266;0
2013-01-02;01:30;46;2;6;15;219;0
2013-01-02;02:00;42;5;1;14;140;0
2013-01-02;02:30;44;2;;16;108;0
2013-01-02;03:00;35;1;;15;97;0
2013-01-02;03:30;44;6;3;27;87;0
2013-01-02;04:00;44;8;1;43;121;0
2013-01-02;04:30;47;11;1;71;169;0
2013-01-02;05:00;49;16;12;84;285;0
2013-01-02;05:30;51;38;15;127;524;0
2013-01-02;06:00;52;52;27;180;661;0
2013-01-02;06:30;65;60;32;362;1287;0
2013-01-02;07:00;82;83;45;469;1689;0
2013-01-02;07:30;85;84;42;492;1759;0
2013-01-02;08:00;120;63;56;523;2064;0
2013-01-02;08:30;141;66;49;502;2404;0
2013-01-02;09:00;134;65;56;512;2278;0
2013-01-02;09:30;168;86;42;514;2348;0
2013-01-02;10:00;154;75;51;520;2510;0
2013-01-02;10:30;175;82;45;460;2676;0
2013-01-02;11:00;208;51;49;436;2674;0
2013-01-02;11:30;173;47;49;404;2606;0
2013-01-02;12:00;171;37;47;276;2516;0
2013-01-02;12:30;170;40;55;246;2364;0
2013-01-02;13:00;154;35;50;244;2084;0
2013-01-02;13:30;147;19;46;320;1944;0
2013-01-02;14:00;168;32;50;343;2247;0
2013-01-02;14:30;157;29;49;349;2489;0
2013-01-02;15:00;181;23;52;340;2676;0
2013-01-02;15:30;169;32;46;316;2666;0
2013-01-02;16:00;180;18;43;221;2623;0
2013-01-02;16:30;174;27;49;203;2752;0
2013-01-02;17:00;165;12;47;164;2735;0
2013-01-02;17:30;164;14;49;146;2842;0
2013-01-02;18:00;154;16;52;106;2750;0
