data_giorno;giorno;totale_transiti_giornalieri_h24;totale_transiti_giornalieri_7.30_19.30_autoveicoli;totale_transiti_giornalieri_7.30_19.30_ciclomotori_motocicli;totale_transiti_giornalieri_00.00_7.29_autoveicoli;totale_transiti_giornalieri_00.00_7.29_ciclomotori_motocicli;totale_transiti_giornalieri_19.30_23.59_autoveicoli;totale_transiti_giornalieri_19.30_23.59_ciclomotori_motocicli
2024-09-21 00:00:00+02:00;sabato;138764;77424;12291;18035;1572;26393;3049
2024-09-20 00:00:00+02:00;venerdì;173145;93605;24878;17940;1612;31108;4002
2024-09-19 00:00:00+02:00;giovedì;158028;85548;26761;15941;1191;24903;3684
2024-09-18 00:00:00+02:00;mercoledì;154853;87480;24298;15138;1394;24004;2539
2024-09-17 00:00:00+02:00;martedì;153783;86564;26522;13422;1251;22786;3238
2024-09-16 00:00:00+02:00;lunedì;140688;78636;25527;13293;1197;19272;2763
2024-09-15 00:00:00+02:00;domenica;103241;58977;8292;13215;1090;19649;2018
2024-09-14 00:00:00+02:00;sabato;121270;70433;11204;13850;1153;22051;2579
2024-09-13 00:00:00+02:00;venerdì;142518;75707;24287;14842;1302;23254;3126
2024-09-12 00:00:00+02:00;giovedì;146666;83411;22802;14008;1054;22304;3087
2024-09-11 00:00:00+02:00;mercoledì;141503;79198;24829;13442;1336;20389;2309
2024-09-10 00:00:00+02:00;martedì;141521;77168;25857;13341;1340;20412;3403
2024-09-09 00:00:00+02:00;lunedì;136978;74438;23643;12579;898;22517;2903
2024-09-08 00:00:00+02:00;domenica;86347;54427;2226;12515;912;15554;713
2024-09-07 00:00:00+02:00;sabato;112070;63452;11005;12601;1239;21316;2457
2024-09-06 00:00:00+02:00;venerdì;128121;70193;19671;13988;894;20350;3025
2024-09-05 00:00:00+02:00;giovedì;119430;76366;8065;13078;715;19415;1791
2024-09-04 00:00:00+02:00;mercoledì;128066;72048;21562;12581;1071;18916;1888
2024-09-03 00:00:00+02:00;martedì;123488;70419;19480;11946;1090;17744;2809
2024-09-02 00:00:00+02:00;lunedì;112478;68147;13305;12414;777;15757;2078
2024-09-01 00:00:00+02:00;domenica;81864;49644;4375;9448;582;16410;1405
2024-08-01 00:00:00+02:00;giovedì;110001;62161;17701;11715;1153;14980;2291
2024-07-31 00:00:00+02:00;mercoledì;115296;64650;18832;11621;1121;16527;2545
2024-07-30 00:00:00+02:00;martedì;116226;64914;19963;11270;1094;16434;2551
2024-07-29 00:00:00+02:00;lunedì;107213;61517;15571;11854;823;15134;2314
2024-07-28 00:00:00+02:00;domenica;67114;38986;4035;7883;494;14543;1173
2024-07-27 00:00:00+02:00;sabato;83978;50715;6942;9552;715;14588;1466
2024-07-26 00:00:00+02:00;venerdì;109418;61722;15654;13436;1069;15561;1976
2024-07-25 00:00:00+02:00;giovedì;127796;71731;18366;14933;1152;18856;2758
2024-07-24 00:00:00+02:00;mercoledì;129794;74273;17883;13678;1028;20029;2903
2024-07-23 00:00:00+02:00;martedì;126535;73098;17882;12540;1079;19087;2849
2024-07-22 00:00:00+02:00;lunedì;113104;66300;14664;12274;851;16828;2187
2024-07-21 00:00:00+02:00;domenica;74233;43364;4271;9235;524;15548;1291
2024-07-20 00:00:00+02:00;sabato;84434;49649;6279;10423;701;15788;1594
2024-07-19 00:00:00+02:00;venerdì;113343;64300;15398;14045;1261;16842;1497
2024-07-18 00:00:00+02:00;giovedì;137299;78910;20208;13918;1124;20191;2948
2024-07-17 00:00:00+02:00;mercoledì;130876;72183;20206;13303;1325;20887;2972
2024-07-16 00:00:00+02:00;martedì;127024;70702;20422;12181;1166;19387;3166
2024-07-15 00:00:00+02:00;lunedì;117121;65108;16917;14162;1031;17271;2632
2024-07-14 00:00:00+02:00;domenica;77774;44176;5014;10526;638;15840;1580
2024-07-13 00:00:00+02:00;sabato;94120;54685;9415;11049;643;16198;2130
2024-07-12 00:00:00+02:00;venerdì;115756;67544;14624;13941;1157;17390;1100
2024-07-11 00:00:00+02:00;giovedì;133151;69844;22767;13939;1579;21284;3738
2024-07-10 00:00:00+02:00;mercoledì;131824;69796;23227;12919;1482;20507;3893
2024-07-09 00:00:00+02:00;martedì;129269;68640;24059;12338;1299;19295;3638
2024-07-08 00:00:00+02:00;lunedì;119259;64529;21525;12730;1025;16685;2765
2024-07-07 00:00:00+02:00;domenica;84062;50135;6114;9999;601;16184;1029
2024-07-06 00:00:00+02:00;sabato;94283;55668;8864;11298;990;15700;1763
2024-07-05 00:00:00+02:00;venerdì;113742;60190;18612;14325;1466;16637;2512
2024-07-04 00:00:00+02:00;giovedì;132468;69958;23348;14320;1497;19835;3510
2024-07-03 00:00:00+02:00;mercoledì;131888;73756;21213;13126;891;19645;3257
2024-07-02 00:00:00+02:00;martedì;126708;68331;22174;12491;1322;18931;3459
2024-07-01 00:00:00+02:00;lunedì;118138;65751;19834;12849;1104;16181;2419
2024-06-30 00:00:00+02:00;domenica;83585;47958;6495;10077;711;16655;1689
2024-06-29 00:00:00+02:00;sabato;94855;56611;9020;11655;1123;14933;1513
2024-06-28 00:00:00+02:00;venerdì;120055;65027;18369;14324;1378;18060;2897
2024-06-27 00:00:00+02:00;giovedì;133416;71994;21510;14425;1517;20424;3546
2024-06-26 00:00:00+02:00;mercoledì;149353;82051;23714;13544;1170;25009;3865
2024-06-25 00:00:00+02:00;martedì;129613;77766;15749;12917;882;19672;2627
2024-06-24 00:00:00+02:00;lunedì;121312;71655;17065;12349;857;17034;2352
2024-06-23 00:00:00+02:00;domenica;84778;53259;2940;10837;529;16157;1056
2024-06-22 00:00:00+02:00;sabato;99972;57044;10177;12227;964;17929;1631
2024-06-21 00:00:00+02:00;venerdì;124399;69419;17800;14268;1300;19551;2061
