Anno;Mese;NaturaIncidente;Incidenti;Feriti;Morti
2022;7;Altre cause;6;6;0
2022;7;Fuoriuscita, sbandamento;90;95;1
2022;7;Investimento pedone;61;73;2
2022;7;Scontro frontale;11;13;0
2022;7;Scontro frontale-laterale;238;326;0
2022;7;Scontro laterale;87;113;0
2022;7;Tamponamento;54;66;1
2022;7;Urto con ostacolo;42;53;0
2022;7;Urto con veicolo in fermata o sosta;56;64;0
2022;8;Altre cause;4;8;0
2022;8;Fuoriuscita, sbandamento;59;66;0
2022;8;Investimento pedone;38;48;2
2022;8;Scontro frontale;8;13;0
2022;8;Scontro frontale-laterale;143;203;1
2022;8;Scontro laterale;42;50;0
2022;8;Tamponamento;28;44;0
2022;8;Urto con ostacolo;32;35;2
2022;8;Urto con veicolo in fermata o sosta;35;47;0
2022;9;Altre cause;6;14;0
2022;9;Fuoriuscita, sbandamento;93;98;2
2022;9;Investimento pedone;112;138;4
2022;9;Scontro frontale;16;26;0
2022;9;Scontro frontale-laterale;237;316;0
2022;9;Scontro laterale;71;81;0
2022;9;Tamponamento;64;84;0
2022;9;Urto con ostacolo;52;61;1
2022;9;Urto con veicolo in fermata o sosta;68;80;0
2022;10;Altre cause;7;8;0
2022;10;Fuoriuscita, sbandamento;86;91;0
2022;10;Investimento pedone;108;123;1
2022;10;Scontro frontale;9;11;0
2022;10;Scontro frontale-laterale;274;349;0
2022;10;Scontro laterale;82;102;0
2022;10;Tamponamento;68;107;0
2022;10;Urto con ostacolo;49;68;1
2022;10;Urto con veicolo in fermata o sosta;75;87;0
2022;11;Altre cause;9;10;0
2022;11;Fuoriuscita, sbandamento;110;112;1
2022;11;Investimento pedone;129;150;1
2022;11;Scontro frontale;12;16;0
2022;11;Scontro frontale-laterale;201;267;3
2022;11;Scontro laterale;67;78;0
2022;11;Tamponamento;56;86;0
2022;11;Urto con ostacolo;40;56;0
2022;11;Urto con veicolo in fermata o sosta;58;71;0
2022;12;Altre cause;5;7;0
2022;12;Fuoriuscita, sbandamento;62;62;1
2022;12;Investimento pedone;95;108;1
2022;12;Scontro frontale;5;9;1
2022;12;Scontro frontale-laterale;209;287;0
2022;12;Scontro laterale;43;50;0
2022;12;Tamponamento;43;65;0
2022;12;Urto con ostacolo;48;54;2
2022;12;Urto con veicolo in fermata o sosta;32;38;0
2023;1;Altre cause;4;5;0
2023;1;Fuoriuscita, sbandamento;83;86;0
2023;1;Investimento pedone;141;166;0
2023;1;Scontro frontale;15;21;0
2023;1;Scontro frontale-laterale;150;211;0
2023;1;Scontro laterale;46;53;0
2023;1;Tamponamento;44;66;0
2023;1;Urto con ostacolo;30;34;2
2023;1;Urto con veicolo in fermata o sosta;44;56;0
2023;2;Altre cause;6;7;0
2023;2;Fuoriuscita, sbandamento;82;84;1
2023;2;Investimento pedone;92;107;2
2023;2;Scontro frontale;10;11;0
2023;2;Scontro frontale-laterale;200;281;2
2023;2;Scontro laterale;70;83;0
2023;2;Tamponamento;58;73;1
2023;2;Urto con ostacolo;43;49;0
2023;2;Urto con veicolo in fermata o sosta;44;52;0
2023;3;Altre cause;2;3;0
2023;3;Fuoriuscita, sbandamento;84;90;0
2023;3;Investimento pedone;110;136;3
2023;3;Scontro frontale;17;25;0
2023;3;Scontro frontale-laterale;226;297;1
2023;3;Scontro laterale;97;116;0
2023;3;Tamponamento;49;72;0
2023;3;Urto con ostacolo;44;56;0
2023;3;Urto con veicolo in fermata o sosta;48;63;0
2023;4;Altre cause;6;6;0
2023;4;Fuoriuscita, sbandamento;62;66;0
2023;4;Investimento pedone;82;97;1
2023;4;Scontro frontale;9;13;1
2023;4;Scontro frontale-laterale;205;278;1
2023;4;Scontro laterale;68;79;1
2023;4;Tamponamento;80;111;0
2023;4;Urto con ostacolo;28;31;0
2023;4;Urto con veicolo in fermata o sosta;66;80;0
2023;5;Altre cause;8;8;0
2023;5;Fuoriuscita, sbandamento;104;114;0
2023;5;Investimento pedone;109;125;0
2023;5;Scontro frontale;13;21;0
2023;5;Scontro frontale-laterale;256;342;1
2023;5;Scontro laterale;85;96;0
2023;5;Tamponamento;77;100;0
2023;5;Urto con ostacolo;48;52;1
2023;5;Urto con veicolo in fermata o sosta;64;72;0
2023;6;Altre cause;9;10;0
2023;6;Fuoriuscita, sbandamento;109;121;0
2024;7;Fuoriuscita, sbandamento;82;87;0
2024;7;Investimento pedone;68;82;0
2024;7;Scontro frontale;8;11;0
2024;7;Scontro frontale-laterale;216;296;1
2024;7;Scontro laterale;67;82;0
2024;7;Tamponamento;71;94;0
2024;7;Urto con ostacolo;60;72;0
2024;7;Urto con veicolo in fermata o sosta;52;63;1
2024;8;Altre cause;4;4;0
2024;8;Fuoriuscita, sbandamento;62;65;0
2024;8;Investimento pedone;34;39;1
2024;8;Scontro frontale;6;18;0
2024;8;Scontro frontale-laterale;134;183;0
2024;8;Scontro laterale;43;49;0
2024;8;Tamponamento;36;41;0
2024;8;Urto con ostacolo;45;48;0
2024;8;Urto con veicolo in fermata o sosta;33;39;2
2024;9;Altre cause;7;9;0
2024;9;Fuoriuscita, sbandamento;100;110;0
2024;9;Investimento pedone;90;105;0
2024;9;Scontro frontale;17;19;0
2024;9;Scontro frontale-laterale;263;371;0
2024;9;Scontro laterale;78;92;0
2024;9;Tamponamento;54;73;0
2024;9;Urto con ostacolo;56;64;0
2024;9;Urto con veicolo in fermata o sosta;56;63;1
2024;10;Altre cause;5;6;0
2024;10;Fuoriuscita, sbandamento;108;109;0
2024;10;Investimento pedone;152;191;1
2024;10;Scontro frontale;18;21;0
2024;10;Scontro frontale-laterale;211;283;1
2024;10;Scontro laterale;66;72;0
2024;10;Tamponamento;69;90;0
2024;10;Urto con ostacolo;65;69;0
2024;10;Urto con veicolo in fermata o sosta;59;65;1
2024;11;Altre cause;8;9;0
2024;11;Fuoriuscita, sbandamento;92;95;1
2024;11;Investimento pedone;118;141;0
2024;11;Scontro frontale;12;17;0
2024;11;Scontro frontale-laterale;241;305;1
2024;11;Scontro laterale;81;90;1
2024;11;Tamponamento;62;81;1
2024;11;Urto con ostacolo;66;82;1
2024;11;Urto con veicolo in fermata o sosta;44;62;0
2024;12;Altre cause;6;6;0
2024;12;Fuoriuscita, sbandamento;80;86;0
2024;12;Investimento pedone;115;137;2
2024;12;Scontro frontale;12;18;0
2024;12;Scontro frontale-laterale;193;258;1
2024;12;Scontro laterale;52;55;0
2024;12;Tamponamento;55;76;0
2024;12;Urto con ostacolo;76;86;3
2024;12;Urto con veicolo in fermata o sosta;49;56;0
2001;1;Altre cause;37;37;0
2001;1;Fuoriuscita, sbandamento;62;67;0
2001;1;Investimento pedone;204;232;4
2001;1;Scontro frontale;32;49;1
2001;1;Scontro frontale - laterale;482;758;1
2001;1;Scontro laterale;66;75;1
2001;1;Tamponamento;151;227;0
2001;1;Urto con ostacolo;86;99;1
2001;1;Urto con veicolo in fermata o sosta;113;146;0
2001;2;Altre cause;43;47;0
2001;2;Fuoriuscita, sbandamento;50;54;0
2001;2;Investimento pedone;147;169;4
2001;2;Scontro frontale;32;52;0
2001;2;Scontro frontale - laterale;483;734;3
2001;2;Scontro laterale;107;127;0
2001;2;Tamponamento;137;193;1
2001;2;Urto con ostacolo;58;68;1
2001;2;Urto con veicolo in fermata o sosta;131;172;2
2001;3;Altre cause;36;39;0
2001;3;Fuoriuscita, sbandamento;62;66;0
2001;3;Investimento pedone;198;224;2
2001;3;Scontro frontale;39;64;0
2001;3;Scontro frontale - laterale;560;874;2
2001;3;Scontro laterale;131;146;0
2001;3;Tamponamento;182;296;0
2001;3;Urto con ostacolo;69;80;2
2001;3;Urto con veicolo in fermata o sosta;142;188;1
2001;4;Altre cause;40;46;0
2001;4;Fuoriuscita, sbandamento;74;85;0
2001;4;Investimento pedone;119;137;3
2001;4;Scontro frontale;37;46;1
2001;4;Scontro frontale - laterale;548;845;1
2001;4;Scontro laterale;165;183;1
2001;4;Tamponamento;178;278;0
2001;4;Urto con ostacolo;64;81;1
2001;4;Urto con veicolo in fermata o sosta;144;203;1
2001;5;Altre cause;37;40;0
2001;5;Fuoriuscita, sbandamento;109;121;0
2001;5;Investimento pedone;193;222;1
2001;5;Scontro frontale;45;69;1
2001;5;Scontro frontale - laterale;616;929;1
2001;5;Scontro laterale;208;248;0
2001;5;Tamponamento;214;369;0
2001;5;Urto con ostacolo;94;109;0
2001;5;Urto con veicolo in fermata o sosta;181;246;1
2001;6;Altre cause;73;80;0
2001;6;Fuoriuscita, sbandamento;119;137;0
2001;6;Investimento pedone;205;257;2
2001;6;Scontro frontale;39;47;1
2001;6;Scontro frontale - laterale;701;1044;1
2001;6;Scontro laterale;207;244;4
2001;6;Tamponamento;223;328;0
2001;6;Urto con ostacolo;82;95;1
2001;6;Urto con veicolo in fermata o sosta;193;274;0
2001;7;Altre cause;72;82;0
2001;7;Fuoriuscita, sbandamento;110;119;0
2001;7;Investimento pedone;147;186;3
2001;7;Scontro frontale;37;54;0
2001;7;Scontro frontale - laterale;647;915;5
2001;7;Scontro laterale;192;227;0
2001;7;Tamponamento;202;312;0
2001;7;Urto con ostacolo;92;117;1
