Anno;Mese;incidenti1veicolo;morti1veicolo;feriti1veicolo;incidenti2veicoli;morti2veicoli;feriti2veicoli;incidenti3veicoli;morti3veicoli;feriti3veicoli;incidenti4veicoli;morti4veicoli;feriti4veicoli;incidenti5veicoli;morti5veicoli;feriti5veicoli;incidenti6veicoli;morti6veicoli;feriti6veicoli;incidenti7epiuveicoli;morti7epiuveicoli;feriti7epiuveicoli;incidentiND;mortiND;feritiND
2021;3;141;3;145;287;0;348;38;0;55;11;0;19;3;0;3;2;0;3;1;0;3;;;
2021;4;153;0;164;328;0;395;35;0;52;13;0;22;;;;;;;;;;;;
2021;5;217;2;232;445;3;551;51;0;77;14;1;16;3;0;6;2;0;3;;;;1;0;1
2021;6;231;1;252;475;1;580;46;0;64;6;0;11;1;0;1;1;0;1;1;0;1;;;
2021;7;192;0;220;424;1;538;45;0;68;13;0;20;3;0;6;1;0;1;2;0;4;;;
2021;8;133;2;143;253;1;347;15;0;23;4;0;8;3;0;3;1;0;1;;;;1;0;1
2021;9;234;3;267;446;0;596;62;0;94;12;0;20;3;1;3;2;0;4;2;0;4;;;
2021;10;254;3;289;493;2;626;64;1;91;14;0;21;2;0;7;;;;;;;1;0;2
2021;11;247;1;284;418;3;518;43;0;78;7;0;11;1;0;1;4;0;9;;;;;;
2021;12;204;1;223;301;0;387;36;0;50;14;0;23;6;0;13;2;0;5;2;0;3;;;
