data;timeIndex;NC;ALTRO;BUS;MERCI;PERSONE;areac
2012-01-01;00:00;24;9;15;23;844;0
2012-01-01;00:30;30;7;22;36;1728;0
2012-01-01;01:00;31;13;22;42;2249;0
2012-01-01;01:30;44;12;17;43;2359;0
2012-01-01;02:00;29;8;20;43;2295;0
2012-01-01;02:30;32;8;16;34;1863;0
2012-01-01;03:00;27;12;17;35;1595;0
2012-01-01;03:30;22;10;14;37;1344;0
2012-01-01;04:00;14;4;16;22;1172;0
2012-01-01;04:30;11;2;19;34;901;0
2012-01-01;05:00;11;6;22;27;792;0
2012-01-01;05:30;19;3;21;13;772;0
2012-01-01;06:00;15;9;28;20;639;0
2012-01-01;06:30;11;8;33;17;709;0
2012-01-01;07:00;6;6;24;16;447;0
2012-01-01;07:30;8;10;32;21;474;0
2012-01-01;08:00;11;11;28;26;419;0
2012-01-01;08:30;14;12;39;28;508;0
2012-01-01;09:00;24;11;34;38;586;0
2012-01-01;09:30;22;14;33;35;781;0
2012-01-01;10:00;21;7;33;41;1054;0
2012-01-01;10:30;25;9;31;50;1405;0
2012-01-01;11:00;34;11;32;46;1588;0
2012-01-01;11:30;38;7;31;41;1761;0
2012-01-01;12:00;40;9;33;37;1891;0
2012-01-01;12:30;48;5;30;33;1751;0
2012-01-01;13:00;32;8;36;44;1524;0
2012-01-01;13:30;29;9;36;30;1329;0
2012-01-01;14:00;20;7;47;28;1377;0
2012-01-01;14:30;15;7;42;36;1638;0
2012-01-01;15:00;37;4;40;56;2074;0
2012-01-01;15:30;42;3;41;49;2473;0
2012-01-01;16:00;47;5;44;45;2801;0
2012-01-01;16:30;44;4;35;47;2953;0
2012-01-01;17:00;27;8;38;64;2765;0
2012-01-01;17:30;47;9;45;49;2789;0
2012-01-01;18:00;44;6;38;48;2527;0
2012-01-01;18:30;41;7;40;31;2334;0
2012-01-01;19:00;43;5;34;40;2201;0
2012-01-01;19:30;32;7;33;35;1926;0
2012-01-01;20:00;19;3;32;37;1695;0
2012-01-01;20:30;31;3;26;33;1463;0
2012-01-01;21:00;21;5;27;42;1323;0
2012-01-01;21:30;17;2;21;25;1156;0
2012-01-01;22:00;22;4;24;31;1298;0
2012-01-01;22:30;19;4;23;38;1029;0
2012-01-01;23:00;18;6;28;24;950;0
2012-01-01;23:30;16;8;22;29;838;0
2012-01-02;00:00;15;2;25;28;658;0
2012-01-02;00:30;12;4;29;18;413;0
2012-01-02;01:00;8;4;13;28;342;0
2012-01-02;01:30;2;2;4;23;243;0
2012-01-02;02:00;6;5;;21;164;0
2012-01-02;02:30;1;7;;22;130;0
2012-01-02;03:00;3;4;;32;119;0
2012-01-02;03:30;6;8;;28;118;0
2012-01-02;04:00;4;5;;41;132;0
2012-01-02;04:30;3;11;1;64;234;0
2012-01-02;05:00;4;22;8;90;350;0
2012-01-02;05:30;7;36;11;134;511;0
2012-01-02;06:00;21;49;33;212;711;0
2012-01-02;06:30;33;77;44;420;1260;0
2012-01-02;07:00;32;72;56;568;1673;0
2012-01-02;07:30;29;74;56;409;1812;0
2012-01-02;08:00;36;48;56;406;2242;0
2012-01-02;08:30;27;50;53;426;2401;0
2012-01-02;09:00;42;50;43;426;2288;0
2012-01-02;09:30;30;62;51;545;2249;0
2012-01-02;10:00;41;48;41;445;2295;0
2012-01-02;10:30;45;49;41;459;2306;0
2012-01-02;11:00;34;43;40;418;2447;0
2012-01-02;11:30;38;31;42;346;2450;0
2012-01-02;12:00;56;31;46;256;2395;0
2012-01-02;12:30;33;35;42;196;2323;0
2012-01-02;13:00;35;25;48;248;2040;0
2012-01-02;13:30;31;24;46;328;1934;0
2012-01-02;14:00;39;32;49;318;2180;0
2012-01-02;14:30;37;26;45;315;2618;0
2012-01-02;15:00;47;22;46;295;2646;0
2012-01-02;15:30;40;20;44;271;2734;0
2012-01-02;16:00;30;15;47;237;2712;0
2012-01-02;16:30;45;15;53;198;2687;0
2012-01-02;17:00;39;21;55;166;2731;0
2012-01-02;17:30;33;10;62;132;2979;0
2012-01-02;18:00;42;12;65;94;3066;0
2012-01-02;18:30;40;13;49;67;2767;0
2012-01-02;19:00;38;12;57;55;2540;0
2012-01-02;19:30;37;5;41;76;2601;0
2012-01-02;20:00;24;9;41;62;2166;0
2012-01-02;20:30;21;9;25;50;1720;0
2012-01-02;21:00;21;8;29;48;1387;0
2012-01-02;21:30;16;8;27;44;1270;0
2012-01-02;22:00;12;7;23;28;1219;0
2012-01-02;22:30;21;5;20;29;1107;0
2012-01-02;23:00;13;14;25;38;998;0
2012-01-02;23:30;12;9;22;39;849;0
2012-01-03;00:00;13;5;26;36;774;0
2012-01-03;00:30;3;8;25;23;545;0
2012-01-03;01:00;6;3;15;31;428;0
2012-01-03;01:30;3;7;4;29;311;0
2012-01-03;02:00;8;9;;22;214;0
2012-01-03;02:30;6;10;;29;156;0
2012-01-03;03:00;5;13;;26;138;0
2012-01-03;03:30;3;12;1;40;120;0
2012-01-03;04:00;3;5;;47;128;0
2012-01-03;04:30;4;8;2;80;238;0
2012-01-03;05:00;4;21;8;102;371;0
2012-01-03;05:30;12;48;12;167;523;0
2012-01-03;06:00;17;54;38;232;759;0
2012-01-03;06:30;26;95;41;471;1399;0
2012-01-03;07:00;50;99;58;717;1944;0
2012-01-03;07:30;45;78;54;525;2210;0
2012-01-03;08:00;44;76;64;528;2719;0
2012-01-03;08:30;47;80;59;573;3336;0
2012-01-03;09:00;48;73;61;592;3335;0
2012-01-03;09:30;52;75;50;688;3171;0
2012-01-03;10:00;51;102;46;599;3028;0
2012-01-03;10:30;53;61;54;556;3007;0
2012-01-03;11:00;52;61;41;519;3131;0
2012-01-03;11:30;55;70;55;436;2994;0
2012-01-03;12:00;47;50;47;328;2792;0
2012-01-03;12:30;47;36;49;246;2687;0
2012-01-03;13:00;38;33;56;289;2351;0
2012-01-03;13:30;37;35;51;356;2229;0
2012-01-03;14:00;38;31;59;412;2349;0
2012-01-03;14:30;37;23;46;390;2901;0
2012-01-03;15:00;51;35;50;387;2880;0
2012-01-03;15:30;45;23;53;334;2957;0
2012-01-03;16:00;55;23;50;279;2960;0
2012-01-03;16:30;46;16;56;192;2920;0
2012-01-03;17:00;56;23;57;170;3003;0
2012-01-03;17:30;44;27;54;139;3322;0
2012-01-03;18:00;47;16;68;109;3232;0
2012-01-03;18:30;55;11;60;92;3177;0
2012-01-03;19:00;35;8;54;70;2921;0
2012-01-03;19:30;44;8;52;97;2850;0
2012-01-03;20:00;38;11;39;59;2575;0
2012-01-03;20:30;23;8;29;63;1902;0
2012-01-03;21:00;24;9;39;43;1562;0
2012-01-03;21:30;19;12;24;48;1470;0
2012-01-03;22:00;21;5;26;46;1481;0
2012-01-03;22:30;23;6;20;33;1315;0
2012-01-03;23:00;19;5;24;36;1280;0
2012-01-03;23:30;16;5;26;37;1190;0
2012-01-04;00:00;11;4;24;25;951;0
2012-01-04;00:30;12;5;31;21;698;0
2012-01-04;01:00;6;3;14;24;477;0
2012-01-04;01:30;12;5;6;29;412;0
2012-01-04;02:00;7;10;1;27;295;0
2012-01-04;02:30;5;2;;19;203;0
2012-01-04;03:00;4;3;;21;151;0
2012-01-04;03:30;5;8;;34;136;0
2012-01-04;04:00;4;6;1;53;136;0
2012-01-04;04:30;7;15;1;63;213;0
2012-01-04;05:00;7;22;10;99;324;0
2012-01-04;05:30;9;37;13;144;503;0
2012-01-04;06:00;12;55;30;225;662;0
2012-01-04;06:30;20;80;39;476;1355;0
2012-01-04;07:00;49;80;55;683;1852;0
2012-01-04;07:30;39;87;49;561;2293;0
2012-01-04;08:00;29;70;66;526;2843;0
2012-01-04;08:30;49;75;58;579;3443;0
2012-01-04;09:00;56;68;56;583;3449;0
2012-01-04;09:30;45;89;53;755;3405;0
2012-01-04;10:00;55;86;53;624;3158;0
2012-01-04;10:30;55;79;55;561;3197;0
2012-01-04;11:00;49;72;53;560;3261;0
2012-01-04;11:30;57;52;47;415;3000;0
2012-01-04;12:00;49;43;50;336;2942;0
2012-01-04;12:30;45;44;52;310;2790;0
2012-01-04;13:00;42;38;52;310;2497;0
2012-01-04;13:30;31;32;50;377;2358;0
2012-01-04;14:00;46;36;47;402;2577;0
2012-01-04;14:30;45;32;49;402;2994;0
2012-01-04;15:00;51;37;51;403;3015;0
2012-01-04;15:30;59;17;45;356;3074;0
2012-01-04;16:00;41;16;50;315;3090;0
2012-01-04;16:30;38;24;50;257;3015;0
2012-01-04;17:00;48;22;60;213;3185;0
2012-01-04;17:30;39;20;53;183;3448;0
2012-01-04;18:00;47;20;62;111;3444;0
2012-01-04;18:30;48;17;49;100;3452;0
2012-01-04;19:00;30;16;55;84;3238;0
2012-01-04;19:30;50;12;44;93;3537;0
2012-01-04;20:00;36;8;38;75;2778;0
2012-01-04;20:30;31;6;35;52;2128;0
2012-01-04;21:00;26;5;28;57;1805;0
2012-01-04;21:30;24;7;30;40;1657;0
2012-01-04;22:00;33;5;24;30;1677;0
2012-01-04;22:30;25;9;25;42;1521;0
2012-01-04;23:00;23;8;25;32;1428;0
2012-01-04;23:30;22;6;24;29;1478;0
2012-01-05;00:00;12;3;23;31;1081;0
2012-01-05;00:30;20;6;29;36;892;0
2012-01-05;01:00;16;4;16;24;603;0
2012-01-05;01:30;12;7;5;23;446;0
2012-01-05;02:00;9;9;;26;315;0
2012-01-05;02:30;7;4;;22;253;0
2012-01-05;03:00;6;3;;25;172;0
2012-01-05;03:30;3;6;1;33;137;0
2012-01-05;04:00;7;8;;44;155;0
2012-01-05;04:30;4;9;2;85;233;0
2012-01-05;05:00;7;19;9;110;364;0
2012-01-05;05:30;9;34;13;155;516;0
2012-01-05;06:00;15;51;28;217;733;0
2012-01-05;06:30;32;72;43;512;1299;0
2012-01-05;07:00;34;113;51;668;1819;0
2012-01-05;07:30;43;75;52;528;2300;0
2012-01-05;08:00;43;65;58;509;2786;0
2012-01-05;08:30;54;85;64;594;3450;0
2012-01-05;09:00;53;70;51;591;3654;0
2012-01-05;09:30;68;79;59;738;3857;0
2012-01-05;10:00;68;92;49;667;3962;0
2012-01-05;10:30;74;80;53;582;3798;0
2012-01-05;11:00;70;83;53;575;3675;0
2012-01-05;11:30;68;78;48;472;3567;0
2012-01-05;12:00;43;59;44;366;3170;0
2012-01-05;12:30;45;55;46;283;3238;0
2012-01-05;13:00;39;43;52;295;2868;0
2012-01-05;13:30;47;38;46;326;2687;0
2012-01-05;14:00;36;34;46;380;2843;0
2012-01-05;14:30;49;40;44;391;3388;0
2012-01-05;15:00;56;41;43;365;3499;0
2012-01-05;15:30;51;26;51;315;3531;0
2012-01-05;16:00;50;29;48;271;3528;0
2012-01-05;16:30;51;32;50;241;3675;0
2012-01-05;17:00;46;27;50;198;3701;0
2012-01-05;17:30;40;25;55;177;3901;0
2012-01-05;18:00;55;19;67;140;3829;0
2012-01-05;18:30;39;11;47;113;3539;0
2012-01-05;19:00;31;16;56;99;3287;0
2012-01-05;19:30;45;14;41;91;3542;0
2012-01-05;20:00;37;4;48;86;3183;0
2012-01-05;20:30;19;10;30;70;2616;0
2012-01-05;21:00;24;10;33;54;2041;0
2012-01-05;21:30;20;3;26;50;1814;0
2012-01-05;22:00;22;6;30;38;1866;0
2012-01-05;22:30;32;9;24;39;1835;0
2012-01-05;23:00;17;12;28;37;1783;0
